GW,id,value,opponent,total_points
1,453,55,0,0
1,141,60,27,1
1,15,80,23,2
1,481,50,29,0
1,79,55,21,0
1,162,60,15,5
1,163,45,15,8
1,282,45,24,2
1,29,45,10,0
1,285,45,24,1
1,204,70,9,11
1,344,40,7,0
1,284,45,24,0
1,33,45,10,7
1,414,45,29,1
1,260,55,7,1
1,449,50,0,2
1,157,50,15,2
1,186,75,4,2
1,191,50,9,0
1,280,55,24,2
1,219,60,28,1
1,523,40,9,0
1,11,110,23,2
1,521,40,24,0
1,153,40,15,0
1,20,60,23,3
1,100,45,25,0
1,17,60,23,6
1,400,45,26,0
1,411,45,29,0
1,145,45,15,0
1,416,50,29,0
1,261,65,3,1
1,262,45,3,0
1,151,45,15,2
1,38,50,10,2
1,67,65,6,2
1,119,65,19,2
1,373,75,0,1
1,467,65,0,2
1,177,50,4,2
1,455,50,0,0
1,360,45,22,1
1,266,95,3,11
1,476,45,24,2
1,249,55,3,2
1,143,55,27,1
1,504,50,0,1
1,28,45,10,2
1,69,45,6,0
1,358,50,27,0
1,259,55,3,0
1,73,50,21,0
1,223,55,28,2
1,376,65,22,0
1,118,55,19,0
1,397,85,26,2
1,496,55,4,0
1,264,55,3,0
1,51,60,10,1
1,495,45,4,0
1,385,50,26,0
1,429,45,1,10
1,277,45,24,2
1,55,45,6,2
1,417,45,29,-2
1,279,45,24,0
1,90,55,21,0
1,342,45,7,0
1,428,45,1,0
1,334,60,12,2
1,506,70,22,0
1,489,45,24,0
1,196,40,10,0
1,75,60,21,2
1,128,45,27,0
1,147,40,15,0
1,480,45,29,0
1,139,45,27,0
1,442,45,1,0
1,48,65,10,2
1,10,45,23,6
1,251,45,3,0
1,209,45,9,0
1,500,45,26,0
1,286,45,24,0
1,8,50,23,0
1,82,75,21,0
1,327,50,12,0
1,313,65,25,1
1,32,50,10,1
1,458,55,0,2
1,212,75,9,0
1,393,85,26,2
1,167,55,4,0
1,413,50,29,0
1,437,50,1,0
1,71,45,6,0
1,243,60,3,0
1,492,55,23,0
1,116,45,19,3
1,441,45,1,3
1,403,60,26,0
1,195,40,9,0
1,121,60,19,2
1,405,45,29,0
1,407,45,29,2
1,432,50,1,5
1,439,55,1,3
1,292,50,24,0
1,434,40,1,0
1,301,45,25,0
1,148,50,15,1
1,300,50,25,2
1,76,60,21,5
1,276,40,24,0
1,253,55,3,2
1,106,50,19,2
1,181,45,4,1
1,274,50,24,0
1,178,55,4,2
1,501,40,6,0
1,213,100,9,0
1,215,60,9,0
1,382,60,26,2
1,171,50,4,0
1,25,75,23,0
1,42,50,10,0
1,438,45,1,3
1,450,45,0,0
1,137,45,27,0
1,241,55,3,2
1,60,50,6,1
1,160,45,15,2
1,290,50,24,1
1,0,50,23,0
1,229,90,28,3
1,388,45,26,0
1,63,45,6,2
1,190,50,9,0
1,180,50,4,5
1,469,60,0,0
1,96,95,21,5
1,272,45,24,0
1,460,95,0,1
1,325,40,12,0
1,216,70,9,1
1,505,40,7,0
1,352,50,7,2
1,516,40,15,0
1,307,75,25,2
1,81,100,21,10
1,146,40,15,3
1,224,55,28,0
1,44,45,10,0
1,278,45,24,2
1,203,50,9,1
1,468,55,0,5
1,254,55,3,2
1,389,55,26,1
1,392,70,26,9
1,320,45,12,2
1,415,45,29,10
1,39,45,10,0
1,226,50,28,1
1,353,55,7,2
1,362,45,22,5
1,233,50,28,0
1,499,65,22,5
1,232,55,28,2
1,299,40,25,0
1,120,45,19,0
1,19,45,23,1
1,363,45,22,0
1,293,50,25,2
1,64,45,6,0
1,4,50,23,0
1,136,45,27,2
1,435,45,1,7
1,77,60,21,2
1,490,55,24,4
1,222,55,28,2
1,319,45,12,0
1,61,55,6,2
1,275,45,24,2
1,484,80,9,5
1,140,65,27,2
1,333,50,12,3
1,328,45,12,3
